iter	Passed	Remaining
328	3311	4620
329	3321	4609
330	3331	4599
331	3340	4587
332	3349	4576
333	3358	4564
334	3367	4553
335	3376	4541
336	3385	4530
337	3394	4518
338	3402	4506
339	3411	4495
340	3421	4484
341	3430	4473
342	3439	4462
343	3448	4451
344	3458	4441
345	3467	4429
346	3476	4418
347	3485	4407
348	3494	4396
349	3504	4385
350	3513	4374
351	3522	4363
352	3532	4352
353	3541	4341
354	3550	4330
355	3561	4321
356	3569	4309
357	3579	4299
358	3589	4288
359	3598	4278
360	3607	4267
361	3617	4256
362	3626	4245
363	3635	4235
364	3645	4224
365	3655	4214
366	3664	4203
367	3674	4193
368	3683	4182
369	3693	4172
370	3704	4163
371	3713	4153
372	3723	4142
373	3732	4131
374	3741	4120
375	3751	4110
376	3760	4099
377	3769	4088
378	3779	4078
379	3790	4069
380	3800	4059
381	3810	4050
382	3821	4040
383	3830	4030
384	3839	4018
385	3849	4008
386	3858	3998
387	3868	3987
388	3877	3976
389	3886	3966
390	3896	3956
391	3905	3945
392	3915	3935
393	3925	3925
394	3934	3914
395	3943	3903
396	3953	3893
397	3962	3882
398	3971	3872
399	3981	3861
400	3990	3851
401	3999	3840
402	4008	3829
403	4019	3820
404	4028	3809
405	4037	3799
406	4047	3789
407	4057	3778
408	4066	3768
409	4075	3757
410	4085	3747
411	4094	3737
412	4104	3726
413	4114	3716
414	4123	3706
415	4133	3696
416	4143	3686
417	4153	3676
418	4162	3665
419	4171	3655
420	4180	3644
421	4190	3634
422	4200	3624
423	4210	3614
424	4220	3604
425	4229	3593
426	4239	3583
427	4248	3573
428	4258	3563
429	4268	3553
430	4277	3543
431	4288	3534
432	4298	3524
433	4308	3514
434	4317	3503
435	4328	3494
436	4337	3484
437	4348	3474
438	4357	3464
439	4367	3454
440	4376	3443
441	4386	3433
442	4396	3423
443	4406	3413
444	4416	3403
445	4426	3393
446	4436	3384
447	4445	3374
448	4456	3364
449	4467	3355
450	4487	3352
451	4499	3345
452	4511	3336
453	4522	3327
454	4534	3318
455	4544	3308
456	4553	3297
457	4563	3287
458	4571	3276
459	4582	3267
460	4591	3256
461	4601	3246
462	4611	3237
463	4621	3227
464	4631	3217
465	4641	3206
466	4650	3196
467	4659	3186
468	4669	3175
469	4678	3165
470	4687	3154
471	4698	3145
472	4708	3135
473	4720	3127
474	4731	3117
475	4741	3107
476	4751	3097
477	4761	3088
478	4771	3078
479	4783	3069
480	4793	3059
481	4803	3049
482	4814	3040
483	4824	3030
484	4834	3020
485	4845	3010
486	4855	3001
487	4867	2992
488	4877	2982
489	4887	2972
490	4897	2962
491	4909	2953
492	4920	2944
493	4930	2934
494	4941	2924
495	4950	2914
496	4962	2905
497	4972	2895
498	4982	2885
499	4994	2877
500	5005	2867
501	5015	2857
502	5027	2848
503	5037	2838
504	5049	2829
505	5060	2820
506	5070	2810
507	5079	2799
508	5089	2789
509	5097	2778
510	5108	2769
511	5117	2758
512	5126	2748
513	5136	2738
514	5145	2727
515	5154	2717
516	5163	2706
517	5171	2695
518	5180	2685
519	5190	2674
520	5199	2664
521	5208	2654
522	5217	2643
523	5227	2633
524	5236	2623
525	5247	2613
526	5257	2603
527	5266	2593
528	5276	2583
529	5284	2572
530	5295	2562
531	5305	2552
532	5315	2542
533	5325	2532
534	5335	2523
535	5345	2513
536	5356	2503
537	5364	2493
538	5374	2482
539	5383	2472
540	5392	2462
541	5401	2451
542	5410	2441
543	5420	2431
544	5429	2420
545	5439	2410
546	5448	2400
547	5458	2390
548	5468	2380
549	5477	2370
550	5487	2360
551	5496	2350
552	5506	2339
553	5515	2329
554	5525	2319
555	5534	2309
556	5543	2299
557	5553	2288
558	5562	2278
559	5571	2268
560	5581	2258
561	5590	2248
562	5599	2237
563	5608	2227
564	5617	2217
565	5626	2206
566	5636	2196
567	5645	2186
568	5654	2176
569	5663	2166
570	5672	2155
571	5681	2145
572	5691	2135
573	5699	2124
574	5708	2114
575	5718	2104
576	5726	2094
577	5736	2084
578	5746	2074
579	5756	2064
580	5766	2054
581	5776	2044
582	5786	2034
583	5796	2024
584	5806	2014
585	5814	2004
586	5824	1994
587	5833	1984
588	5842	1974
589	5851	1963
590	5861	1953
591	5870	1943
592	5880	1933
593	5889	1923
594	5898	1913
595	5907	1903
596	5916	1893
597	5926	1883
598	5935	1872
599	5944	1862
600	5953	1852
601	5962	1842
602	5971	1832
603	5981	1822
604	5991	1812
605	6000	1802
606	6010	1792
607	6020	1782
608	6029	1772
609	6039	1762
610	6049	1752
611	6058	1742
612	6067	1732
613	6077	1722
614	6086	1712
615	6095	1702
616	6105	1692
617	6116	1682
618	6126	1672
619	6136	1662
620	6147	1653
621	6157	1643
622	6167	1633
623	6177	1623
624	6185	1613
625	6197	1603
626	6206	1593
627	6217	1583
628	6226	1573
629	6235	1563
630	6245	1553
631	6254	1543
632	6265	1534
633	6277	1524
634	6286	1514
635	6297	1505
636	6307	1495
637	6316	1485
638	6326	1475
639	6336	1465
640	6346	1455
641	6355	1445
642	6364	1435
643	6374	1425
644	6383	1415
645	6393	1405
646	6403	1395
647	6413	1385
648	6422	1375
649	6432	1365
650	6440	1355
651	6450	1345
652	6460	1335
653	6470	1325
654	6479	1315
655	6489	1305
656	6498	1295
657	6508	1285
658	6518	1275
659	6528	1266
660	6538	1256
661	6547	1246
662	6557	1236
663	6567	1226
664	6576	1216
665	6585	1206
666	6595	1196
667	6604	1186
668	6613	1176
669	6622	1166
670	6632	1156
671	6641	1146
672	6651	1136
673	6660	1126
674	6670	1116
675	6679	1106
676	6689	1096
677	6698	1086
678	6708	1076
679	6717	1066
680	6726	1056
681	6736	1046
682	6745	1036
683	6755	1027
684	6765	1017
685	6775	1007
686	6785	997
687	6794	987
688	6803	977
689	6813	967
690	6823	957
691	6833	947
692	6842	937
693	6851	927
694	6860	918
695	6870	908
696	6879	898
697	6889	888
698	6900	878
699	6910	868
700	6920	858
701	6930	849
702	6941	839
703	6951	829
704	6960	819
705	6972	809
706	6983	800
707	6993	790
708	7005	780
709	7016	770
710	7026	760
711	7038	751
712	7048	741
713	7058	731
714	7068	721
715	7078	711
716	7088	701
717	7097	691
718	7106	681
719	7116	672
720	7126	662
721	7136	652
722	7145	642
723	7155	632
724	7165	622
725	7174	612
726	7185	602
727	7194	592
728	7203	582
729	7212	573
730	7221	563
731	7230	553
732	7239	543
733	7248	533
734	7258	523
735	7267	513
736	7277	503
737	7286	493
738	7295	483
739	7304	473
740	7313	463
741	7322	453
742	7331	444
743	7340	434
744	7349	424
745	7358	414
746	7367	404
747	7376	394
748	7385	384
749	7394	374
750	7403	364
751	7412	354
752	7422	344
753	7431	335
754	7441	325
755	7451	315
756	7460	305
757	7470	295
758	7479	285
759	7489	275
760	7499	266
761	7508	256
762	7517	246
763	7528	236
764	7537	226
765	7547	216
766	7558	206
767	7568	197
768	7578	187
769	7588	177
770	7599	167
771	7609	157
772	7618	147
773	7627	137
774	7636	128
775	7646	118
776	7655	108
777	7664	98
778	7673	88
779	7682	78
780	7691	68
781	7700	59
782	7709	49
783	7718	39
784	7727	29
785	7736	19
786	7747	9
787	7756	0
