iter	Logloss
0	0.5655064209
1	0.4669646669
2	0.3988398279
3	0.3496416653
4	0.3135736584
5	0.2929962079
6	0.2736990976
7	0.259517388
8	0.2487079911
9	0.2413238282
10	0.23444083
11	0.2278948124
12	0.2218377669
13	0.2178564303
14	0.2143431201
15	0.210752134
16	0.2082386285
17	0.2064777204
18	0.2052493084
19	0.2032691348
20	0.2018369423
21	0.2003878019
22	0.1987858477
23	0.1973701674
24	0.1959530317
25	0.1944693645
26	0.1925084909
27	0.1918006001
28	0.1912017663
29	0.1904161008
30	0.1896611168
31	0.1887487893
32	0.1881923388
33	0.1876357469
34	0.1870551629
35	0.1861709639
36	0.1852912012
37	0.1844088738
38	0.1839312145
39	0.1832609174
40	0.1830631592
41	0.1825579431
42	0.1820479676
43	0.1811687725
44	0.1809611819
45	0.1805302167
46	0.1799923261
47	0.1796240711
48	0.1792030924
49	0.1785533667
50	0.1781746622
51	0.1776819685
52	0.1776034571
53	0.1774458295
54	0.1771680457
55	0.1770083197
56	0.1766307371
57	0.1764689885
58	0.1759518309
59	0.1754655061
60	0.1748722357
61	0.1743936651
62	0.1743149118
63	0.1742144548
64	0.1740453474
65	0.1734840925
66	0.1733247815
67	0.1731578072
68	0.172956232
69	0.172691977
70	0.1724856146
71	0.172374247
72	0.1722906182
73	0.1721215685
74	0.1720367934
75	0.1717509579
76	0.1717395181
77	0.1714830101
78	0.171137374
79	0.1710882789
80	0.170931457
81	0.1704928373
82	0.1702321302
83	0.1700006562
84	0.1699850722
85	0.1699547822
86	0.1698026862
87	0.1696503563
88	0.1695637166
89	0.1695282054
90	0.1695045174
91	0.1693108154
92	0.1686692048
93	0.1680204639
94	0.1675304315
95	0.167372057
96	0.1671072226
97	0.1669795473
98	0.166798237
99	0.1666322794
100	0.1665109094
101	0.1664997309
102	0.1663446931
103	0.166112712
104	0.1659805723
105	0.1659274423
106	0.1654141366
107	0.1650148018
108	0.1648616531
109	0.164496614
110	0.1641176176
111	0.1637978328
112	0.1633070561
113	0.1628917329
114	0.1627062898
115	0.1625781587
116	0.1623987498
117	0.162268798
118	0.1620035097
119	0.161628418
120	0.1615430822
121	0.1612862842
122	0.1610076057
123	0.1609154967
124	0.1607938839
125	0.1605434635
126	0.1603867993
127	0.1600917801
128	0.1599410792
129	0.1598704262
130	0.1597019147
131	0.1595214232
132	0.1593688334
133	0.1592582266
134	0.159157711
135	0.1590377253
136	0.1589460405
137	0.1588176609
138	0.1587708789
139	0.158698689
140	0.1585570065
141	0.158448964
142	0.1584425061
143	0.1581704913
144	0.1581649368
145	0.158117625
146	0.1579621534
147	0.1577885428
148	0.1576649198
149	0.1574833892
150	0.1572826134
151	0.1572161929
152	0.1567392002
153	0.1565595561
154	0.1564607011
155	0.1562796846
156	0.1561797191
157	0.1561218247
158	0.1560166408
159	0.155982191
160	0.1559003752
161	0.1557929476
162	0.1557881833
163	0.1556826754
164	0.1556316035
165	0.1554800038
166	0.155356361
167	0.1553418044
168	0.1552178464
169	0.1550057503
170	0.1548974904
171	0.1548193103
172	0.154449585
173	0.1544194339
174	0.1542673062
175	0.1540712445
176	0.1540158304
177	0.1540064587
178	0.1538967358
179	0.1537759448
180	0.1537138334
181	0.1534794368
182	0.1534271506
183	0.1533971384
184	0.1533125507
185	0.1532867537
186	0.1531533742
187	0.1530638307
188	0.1530590233
189	0.1529833753
190	0.1528114025
191	0.1527782411
192	0.152469618
193	0.1523156094
194	0.1522437148
195	0.1521360561
196	0.1518927253
197	0.1518539327
198	0.1518497379
199	0.151813212
200	0.151689591
201	0.1515787604
202	0.1515072913
203	0.1514704224
204	0.151415607
205	0.1511985642
206	0.1511515792
207	0.1510877371
208	0.1510311405
209	0.1509853386
210	0.1509757137
211	0.150895195
212	0.1508134324
213	0.1507326716
214	0.1506102013
215	0.1505475127
216	0.1503094351
217	0.1502548905
218	0.1501837709
219	0.1500189969
220	0.1500076557
221	0.14996741
222	0.1499047928
223	0.149894624
224	0.1497764864
225	0.1497162885
226	0.1496809664
227	0.1496193861
228	0.1492964655
229	0.1490548721
230	0.1490514682
231	0.1489702832
232	0.1489035718
233	0.1488336965
234	0.1487366505
235	0.1486596542
236	0.1485538578
237	0.148358517
238	0.1483553418
239	0.1483533194
240	0.1481966273
241	0.1480744482
242	0.1480510727
243	0.148024879
244	0.147927382
245	0.1478138856
246	0.1477306677
247	0.1476983047
248	0.1474832234
249	0.1474079388
250	0.1473073509
251	0.1472139671
252	0.1470800447
253	0.1470033694
254	0.1469688166
255	0.1468774531
256	0.1468758378
257	0.1468542982
258	0.1467925451
259	0.1467725697
260	0.1467376574
261	0.1467249348
262	0.1466043742
263	0.1465140056
264	0.1464343624
265	0.1464185385
266	0.1463714134
